,ID,Customer_ID,Month,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
0,0x20419,CUS_0x36e1,August,Gellero,35,132-77-4921,Journalist,20364.57,1626.0475,6,8,32,3,"Personal Loan, Student Loan, and Mortgage Loan",23,9,10.3,11.0,Standard,2500.04,27.57647762267587,9 Years and 8 Months,Yes,26.168108925039405,92.51897591535379,High_spent_Small_value_payments,303.9176651596068,Standard
1,0x4579,CUS_0x2a61,August,,46,753-68-0048,Teacher,9786.86,951.5716666666668,9,10,1663,2,"Personal Loan, and Student Loan",58,14,15.53,6.0,Standard,2149.9,23.451285243899484,,Yes,11.564437453875689,54.46174813453877,Low_spent_Medium_value_payments,309.13098107825226,Poor
2,0x1b923,CUS_0x788b,June,Ben Klaymane,19,276-42-6585,_______,146880.84,12372.07,1,6,2,1,Auto Loan,25,4,5.04,1.0,Good,387.53,31.10029728915989,24 Years and 3 Months,No,98.03193127715576,478.3574716999517,High_spent_Small_value_payments,920.8175970228926,Standard
3,0x8ac9,CUS_0x5534,April,Aubinr,39,246-34-3138,Developer,23200.82,,3,7,5,0,,30,15,24.73,6.0,Standard,987.07,26.78692483002329,17 Years and 7 Months,Yes,0.0,65.84983488267585,Low_spent_Large_value_payments,391.89033178399086,Standard
4,0x24a41,CUS_0x104f,April,Markm,20,264-84-8069,Architect,11336.835,992.73625,4,1405,14,6,"Auto Loan, Payday Loan, Student Loan, Auto Loan, Auto Loan, and Personal Loan",30,19,16.44,7.0,Standard,177.98,24.00175196909261,14 Years and 7 Months,Yes,35.56273086250209,,Low_spent_Small_value_payments,228.2459986662751,Standard
5,0x16099,CUS_0x6573,August,Jamesp,34,682-25-4861,Doctor,8922.155,957.5129166666668,6,8,24,7,"Personal Loan, Auto Loan, Credit-Builder Loan, Auto Loan, Payday Loan, Payday Loan, and Home Equity Loan",26,,18.61,9.0,Bad,4648.32,39.490785697305725,2 Years and 4 Months,Yes,48.5390051835844,102.11048074801573,!@9#%8,235.10180573506653,Good
6,0x23e35,CUS_0xb3c2,April,Shirbonv,35,#F%$D@*&8,Media_Manager,20487.905,,4,4,2,3,"Mortgage Loan, Payday Loan, and Credit-Builder Loan",11,,6.05,1.0,Good,1464.77,35.06861989237081,20 Years and 11 Months,No,34.53529461572649,64.78254782421534,High_spent_Medium_value_payments,318.11469922672484,Standard
7,0x19cd4,CUS_0xba0b,July,Leah Schnurro,34,165-76-8590,Accountant,54265.54,,3,5,5,2,"Mortgage Loan, and Student Loan",23,13,4.78,5.0,Standard,545.37,33.99434775281714,23 Years and 5 Months,No,82.10549979204414,396.4845290738466,Low_spent_Small_value_payments,236.2228044674426,Good
8,0x14c0d,CUS_0x38d8,April,Nishant Kumart,24,467-02-8866,Accountant,101114.73,8679.2275,6,6,8,3,"Personal Loan, Home Equity Loan, and Student Loan",20,11,24.91,6.0,_,1190.45,35.336517377059685,,Yes,209.64488676408368,116.52344476791184,High_spent_Large_value_payments,781.7544184680046,Good
9,0x1298f,CUS_0x51a1,June,,45,959-74-6872,Entrepreneur,63306.54,5260.545,4,5,19,3,"Student Loan, Mortgage Loan, and Student Loan",11,9,8.09,7.0,Standard,1203.19,27.25073015807037,28 Years and 2 Months,No,85.61112477309555,120.0391513715411,High_spent_Large_value_payments,560.4042238553634,Standard
